attack_type,clean_accuracy,attack_success_rate
pattern,0.6700000166893005,0.941
pixel,0.6729000210762024,0.943
stripe,0.6790000200271606,0.997
blended,0.6777999997138977,1.0
dynamic,0.6675999760627747,0.907
invisible,0.6658999919891357,0.139
wanet,0.6601999998092651,0.993
